tile_id,easting_m,northing_m,height_m
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387188.5,3899139.5,56.51
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387214.5,3899139.5,59.9
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387250.5,3899139.5,59.51
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387259.5,3899139.5,58.85
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387726.5,3899139.5,58.9
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387738.5,3899139.5,58.41
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387751.5,3899139.5,59.67
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387130.5,3899138.5,57.42
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387154.5,3899138.5,59.19
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387179.5,3899138.5,56.03
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387229.5,3899138.5,59.76
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387235.5,3899138.5,58.3
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387265.5,3899138.5,58.64
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387271.5,3899138.5,59.42
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387685.5,3899138.5,59.48
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387691.5,3899138.5,59.68
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387732.5,3899138.5,59.19
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387745.5,3899138.5,58.98
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387865.5,3899137.5,57.74
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387870.5,3899137.5,57.93
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387094.5,3899136.5,59.68
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387120.5,3899136.5,57.13
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387146.5,3899136.5,57.8
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386100.5,3899135.5,59.49
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387158.5,3899135.5,58.56
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387186.5,3899135.5,54.39
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387215.5,3899135.5,59.77
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386075.5,3899134.5,59.66
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387133.5,3899134.5,55.88
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387202.5,3899134.5,56.56
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387208.5,3899134.5,59.56
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387209.5,3899134.5,59.56
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387241.5,3899134.5,57.26
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387283.5,3899134.5,58.94
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387361.5,3899134.5,59.96
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387726.5,3899134.5,58.81
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386105.5,3899133.5,59.73
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387088.5,3899133.5,59.22
