year,lat,lon,sm_mean_m3m3,valid_days
2015,38.454861,-78.096474,0.297949,39
2015,38.454861,-78.003113,0.265495,73
2015,38.454861,-77.909752,0.304301,48
2015,38.365215,-78.189835,0.276829,50
2015,38.365215,-78.096474,0.216059,123
2015,38.365215,-78.003113,0.226632,123
2015,38.275677,-78.189835,0.337118,3
2015,38.275677,-78.096474,0.277515,56
