tile_id,project_year,easting_m,northing_m,height_m
S13_4889_10,2016,3499391.0,1186158.0,5.211
S13_4889_10,2016,3499696.0,1185823.0,4.971
S13_4889_10,2016,3500371.0,1187063.0,9.886
S13_4889_10,2016,3499696.0,1186328.0,32.077
S13_4889_10,2016,3500571.0,1185743.0,5.488
S13_4889_10,2016,3499891.0,1186303.0,7.859
S13_4889_10,2016,3499571.0,1186403.0,42.653
S13_4889_10,2016,3499701.0,1186993.0,17.389
S13_4889_10,2016,3500521.0,1186163.0,13.602
S13_4889_10,2016,3500591.0,1187163.0,10.546
S13_4889_10,2016,3500246.0,1186198.0,22.269
S13_4889_10,2016,3499646.0,1185983.0,14.018
S13_4889_10,2016,3499681.0,1186238.0,6.621
S13_4889_10,2016,3499681.0,1186688.0,7.915
S13_4889_10,2016,3499851.0,1186918.0,4.008
S13_4889_10,2016,3500566.0,1186308.0,4.824
S13_4889_10,2016,3499536.0,1186038.0,28.962
S13_4889_10,2016,3500231.0,1186433.0,18.206
S13_4889_10,2016,3499771.0,1185878.0,16.846
S13_4889_10,2016,3499421.0,1186133.0,11.062
S13_4889_10,2016,3499566.0,1186023.0,15.51
S13_4889_10,2016,3499501.0,1186623.0,25.945
S13_4889_10,2016,3500381.0,1186853.0,17.616
S13_4889_10,2016,3500316.0,1186848.0,25.796
S13_4889_10,2016,3499651.0,1186568.0,25.679
S13_4889_10,2016,3500251.0,1185783.0,3.14
S13_4889_10,2016,3499781.0,1187013.0,5.545
S13_4889_10,2016,3499666.0,1186513.0,29.465
S13_4889_10,2016,3499301.0,1186013.0,9.202
S13_4889_10,2016,3499441.0,1186643.0,16.8
S13_4889_10,2016,3499691.0,1186993.0,18.132
S13_4889_10,2016,3500296.0,1186178.0,27.63
S13_4889_10,2016,3500016.0,1186368.0,6.562
S13_4889_10,2016,3500401.0,1186763.0,9.397
S13_4889_10,2016,3500206.0,1186928.0,3.961
S13_4889_10,2016,3499541.0,1186828.0,40.725
S13_4889_10,2016,3500281.0,1186688.0,12.039
S13_4889_10,2016,3499486.0,1186023.0,41.833
S13_4889_10,2016,3499221.0,1186398.0,9.971
S13_4889_10,2016,3500551.0,1185868.0,27.751
S13_4889_10,2016,3500271.0,1186398.0,20.681
S13_4889_10,2016,3499161.0,1186373.0,17.106
S13_4889_10,2016,3499966.0,1186513.0,23.955
S13_4889_10,2016,3499346.0,1186323.0,10.724
S13_4889_10,2016,3500536.0,1187183.0,8.636
S13_4889_10,2016,3499341.0,1185993.0,4.241
S13_4889_10,2016,3499326.0,1186098.0,7.069
S13_4889_10,2016,3500186.0,1186153.0,11.126
S13_4889_20,2016,3501027.0,1185948.0,18.328
S13_4889_20,2016,3501082.0,1187043.0,6.949
S13_4889_20,2016,3501857.0,1186583.0,48.555
S13_4889_20,2016,3500772.0,1186528.0,10.751
S13_4889_20,2016,3501537.0,1186703.0,15.578
S13_4889_20,2016,3501727.0,1185988.0,5.982
S13_4889_20,2016,3500917.0,1185718.0,3.53
S13_4889_20,2016,3500717.0,1185883.0,3.509
S13_4889_20,2016,3501047.0,1186368.0,19.74
S13_4889_20,2016,3501477.0,1186748.0,3.31
S13_4889_20,2016,3500862.0,1186813.0,25.528
S13_4889_20,2016,3501637.0,1186188.0,11.81
S13_4889_20,2016,3501267.0,1185788.0,10.228
S13_4889_20,2016,3501657.0,1185903.0,28.74
S13_4889_20,2016,3500917.0,1187148.0,6.768
S13_4889_20,2016,3501402.0,1186338.0,31.507
S13_4889_20,2016,3501972.0,1186168.0,15.453
S13_4889_20,2016,3501112.0,1185743.0,9.051
S13_4889_20,2016,3501677.0,1186353.0,45.238
S13_4889_20,2016,3500797.0,1186153.0,22.557
S13_4889_20,2016,3500792.0,1186488.0,3.136
S13_4889_20,2016,3500937.0,1185768.0,4.31
S13_4889_20,2016,3501962.0,1186533.0,34.873
S13_4889_20,2016,3501652.0,1186423.0,60.0
S13_4889_20,2016,3501907.0,1186458.0,22.484
S13_4889_20,2016,3501602.0,1186313.0,60.0
S13_4889_20,2016,3501407.0,1186313.0,35.815
S13_4889_20,2016,3501527.0,1186028.0,45.978
S13_4889_20,2016,3501927.0,1186498.0,30.166
S13_4889_20,2016,3501972.0,1186478.0,26.424
S13_4889_20,2016,3501557.0,1186543.0,60.0
S13_4889_20,2016,3501877.0,1187093.0,27.252
S13_4889_20,2016,3501382.0,1186538.0,10.821
S13_4889_20,2016,3501142.0,1186258.0,34.627
S13_4889_20,2016,3501417.0,1186053.0,14.604
S13_4889_20,2016,3500957.0,1187118.0,9.073
S13_4889_20,2016,3500787.0,1186818.0,30.896
S13_4889_20,2016,3500692.0,1186453.0,2.249
S13_4889_20,2016,3501687.0,1186423.0,49.832
S13_4889_20,2016,3501317.0,1186338.0,6.99
S13_4889_20,2016,3501982.0,1186803.0,9.294
S13_4889_20,2016,3501887.0,1186723.0,27.308
S13_4889_20,2016,3501522.0,1186028.0,46.014
S13_4889_20,2016,3501782.0,1187043.0,13.205
S13_4889_20,2016,3501247.0,1186028.0,2.981
S13_4889_20,2016,3500927.0,1186663.0,2.563
S13_4889_20,2016,3500892.0,1185733.0,4.155
S13_4889_20,2016,3501542.0,1186028.0,46.652
S13_4889_20,2016,3500802.0,1186968.0,34.475
S13_4889_20,2016,3500662.0,1187063.0,17.474
S13_4889_20,2016,3500782.0,1186638.0,22.664
S13_4889_20,2016,3501367.0,1186398.0,15.067
S13_4889_20,2016,3501567.0,1186278.0,59.105
S13_4889_20,2016,3501392.0,1186268.0,27.269
S13_4889_20,2016,3502042.0,1186538.0,26.508
S13_4889_20,2016,3501762.0,1185973.0,2.564
S13_4889_20,2016,3501562.0,1185883.0,60.0
S13_4889_20,2016,3502082.0,1186383.0,8.403
S13_4889_20,2016,3500972.0,1186383.0,4.431
S13_4889_20,2016,3501467.0,1185728.0,11.403
S13_4889_20,2016,3500697.0,1187063.0,17.524
S13_4889_20,2016,3501077.0,1186033.0,22.956
S13_4889_20,2016,3502027.0,1186483.0,24.288
S13_4889_20,2016,3501812.0,1186828.0,8.582
S13_4889_20,2016,3500652.0,1187078.0,12.148
S13_4889_20,2016,3501077.0,1187153.0,14.69
S13_4889_20,2016,3500647.0,1186483.0,3.322
S13_4889_20,2016,3501877.0,1186288.0,25.304
S13_4889_20,2016,3500722.0,1185968.0,3.971
S13_4889_20,2016,3502107.0,1186438.0,11.188
S13_4889_20,2016,3500707.0,1186848.0,28.672
S13_4889_20,2016,3501182.0,1185708.0,4.968
S13_4889_20,2016,3501422.0,1186033.0,19.504
S13_4889_20,2016,3500647.0,1186268.0,13.306
S13_4889_20,2016,3500947.0,1185763.0,4.79
S13_4889_20,2016,3501297.0,1186058.0,3.322
S13_4889_20,2016,3501087.0,1186048.0,16.808
S13_4889_20,2016,3501062.0,1187198.0,14.28
S13_4889_20,2016,3501997.0,1186193.0,13.771
S13_4889_20,2016,3502077.0,1186508.0,19.505
S13_4889_20,2016,3500722.0,1186773.0,20.976
S13_4889_20,2016,3500947.0,1186183.0,13.156
S13_4889_20,2016,3501477.0,1185743.0,14.69
S13_4889_20,2016,3500732.0,1186173.0,42.855
S13_4889_20,2016,3501827.0,1186838.0,8.345
S13_4889_20,2016,3500712.0,1186828.0,26.222
S13_4889_20,2016,3501557.0,1185988.0,60.0
S13_4889_20,2016,3500762.0,1185768.0,18.738
S13_4889_20,2016,3501017.0,1187043.0,8.539
S13_4889_20,2016,3501212.0,1187143.0,7.186
S13_4889_20,2016,3501302.0,1186438.0,4.839
S13_4889_20,2016,3501842.0,1186313.0,16.31
S13_4889_20,2016,3501457.0,1186078.0,15.086
S13_4889_20,2016,3501822.0,1186318.0,13.746
S13_4889_20,2016,3501542.0,1186638.0,37.763
S13_4889_20,2016,3502087.0,1187138.0,31.94
S13_4889_20,2016,3500702.0,1185993.0,6.838
S13_4889_20,2016,3501957.0,1186638.0,35.828
S13_4889_20,2016,3501472.0,1186253.0,56.124
S13_4889_20,2016,3501707.0,1187028.0,2.865
S13_4889_20,2016,3500922.0,1186263.0,15.691
S13_4889_20,2016,3501457.0,1186488.0,33.186
S13_4889_20,2016,3501067.0,1186368.0,23.893
S13_4889_20,2016,3500637.0,1186328.0,2.855
S13_4889_20,2016,3501997.0,1187173.0,11.189
S13_4889_20,2016,3501642.0,1185968.0,37.053
S13_4889_20,2016,3501862.0,1186418.0,15.54
S13_4889_20,2016,3502087.0,1187028.0,12.694
S13_4889_20,2016,3502052.0,1186988.0,5.6
S13_4889_20,2016,3501002.0,1186253.0,26.0
S13_4889_20,2016,3501597.0,1186558.0,60.0
S13_4889_20,2016,3501177.0,1186303.0,21.554
S13_4889_20,2016,3501682.0,1186623.0,60.0
S13_4889_20,2016,3500767.0,1186258.0,13.225
S13_4889_20,2016,3501337.0,1186123.0,2.436
S13_4889_20,2016,3501517.0,1185938.0,60.0
S13_4889_20,2016,3501572.0,1186403.0,60.0
S13_4889_20,2016,3501672.0,1186628.0,60.0
S13_4889_20,2016,3501972.0,1186753.0,17.878
S13_4889_20,2016,3500997.0,1186148.0,12.952
S13_4889_20,2016,3501222.0,1185823.0,10.174
S13_4889_20,2016,3501487.0,1186653.0,17.567
S13_4889_20,2016,3502077.0,1187173.0,20.445
S13_4889_20,2016,3501702.0,1185933.0,12.214
S13_4889_20,2016,3501742.0,1187053.0,5.48
S13_4889_20,2016,3502092.0,1186638.0,13.724
S13_4889_20,2016,3501037.0,1186043.0,13.723
S13_4889_20,2016,3501022.0,1186903.0,6.078
S13_4889_20,2016,3501267.0,1186333.0,3.59
S13_4889_20,2016,3501612.0,1185898.0,54.611
S13_4889_20,2016,3502062.0,1187103.0,34.633
S13_4889_20,2016,3500867.0,1187203.0,3.09
S13_4889_20,2016,3501652.0,1185968.0,31.866
S13_4889_20,2016,3502007.0,1186363.0,11.599
S13_4889_20,2016,3501742.0,1186868.0,13.619
S13_4889_20,2016,3501957.0,1186548.0,36.13
S13_4889_20,2016,3500802.0,1185993.0,2.755
S13_4889_20,2016,3500927.0,1186803.0,14.459
S13_4889_20,2016,3500732.0,1186943.0,40.249
S13_4889_20,2016,3502077.0,1186553.0,20.127
S13_4889_20,2016,3500657.0,1186073.0,27.647
S13_4889_20,2016,3501817.0,1186188.0,12.154
S13_4889_20,2016,3501727.0,1186178.0,3.486
S13_4889_20,2016,3501997.0,1186388.0,14.068
S13_4889_20,2016,3501042.0,1185763.0,8.731
S13_4889_20,2016,3501707.0,1186798.0,7.33
S13_4889_20,2016,3500992.0,1186858.0,8.64
S13_4889_20,2016,3500747.0,1186303.0,6.645
S13_4889_20,2016,3501752.0,1186968.0,15.654
S13_4889_20,2016,3500697.0,1186243.0,24.874
S13_4879_30,2016,3499466.0,1188463.0,11.66
S13_4879_30,2016,3500311.0,1188458.0,12.215
S13_4879_30,2016,3499981.0,1187428.0,8.821
S13_4879_30,2016,3499756.0,1188233.0,3.091
S13_4879_30,2016,3499826.0,1187798.0,16.306
S13_4879_30,2016,3499346.0,1188333.0,12.867
S13_4879_30,2016,3500211.0,1187693.0,60.0
S13_4879_30,2016,3499696.0,1188053.0,60.0
S13_4879_30,2016,3499886.0,1187398.0,4.021
S13_4879_30,2016,3499756.0,1188098.0,24.194
S13_4879_30,2016,3499991.0,1187733.0,60.0
S13_4879_30,2016,3500216.0,1188473.0,27.895
S13_4879_30,2016,3499536.0,1187553.0,14.785
S13_4879_30,2016,3500081.0,1188253.0,8.276
S13_4879_30,2016,3500151.0,1187753.0,60.0
S13_4879_30,2016,3499546.0,1187428.0,43.23
S13_4879_30,2016,3500571.0,1188613.0,2.819
S13_4879_30,2016,3499556.0,1187313.0,8.247
S13_4879_30,2016,3499581.0,1188523.0,3.241
S13_4879_30,2016,3499986.0,1187738.0,60.0
S13_4879_30,2016,3499816.0,1188363.0,16.598
S13_4879_30,2016,3500266.0,1188443.0,21.973
S13_4879_30,2016,3499156.0,1188018.0,3.544
S13_4879_30,2016,3500171.0,1188348.0,33.672
S13_4879_30,2016,3499671.0,1187953.0,55.633
S13_4879_30,2016,3499246.0,1188348.0,6.675
S13_4879_30,2016,3500101.0,1187818.0,60.0
S13_4879_30,2016,3499421.0,1187338.0,9.567
S13_4879_30,2016,3500056.0,1187818.0,60.0
S13_4879_30,2016,3499556.0,1188358.0,5.7
S13_4879_30,2016,3500221.0,1187998.0,6.854
S13_4879_30,2016,3500191.0,1188293.0,18.004
S13_4879_30,2016,3499436.0,1187748.0,3.923
S13_4879_30,2016,3500096.0,1187468.0,16.578
S13_4879_30,2016,3500341.0,1188393.0,10.5
S13_4879_30,2016,3500246.0,1187293.0,3.047
S13_4879_30,2016,3500426.0,1188243.0,6.614
S13_4879_30,2016,3499261.0,1188153.0,29.324
S13_4879_30,2016,3500381.0,1187838.0,2.043
S13_4879_30,2016,3499701.0,1187748.0,13.691
